keys,en
"dialogue.wolf.bark.snag.036","There. Now you're awake."
"dialogue.wolf.bark.snag.037","That's the goose face. You're making the goose face."
"dialogue.wolf.bark.snag.038","Ground's loose. Wasn't your fault. Mostly."
"dialogue.wolf.bark.snag.039","Keep your weight forward, would you."
"dialogue.wolf.bark.snag.040","Sloppy. Fond of you, but sloppy."
"dialogue.wolf.bark.trouble.001","That's a real one. Careful now."
"dialogue.wolf.bark.trouble.002","No. No, I don't like that."
"dialogue.wolf.bark.trouble.003","Get your feet under you. Now."
"dialogue.wolf.bark.trouble.004","That cost you something. I felt it from here."
"dialogue.wolf.bark.trouble.005","Back. Back, and breathe."
"dialogue.wolf.bark.trouble.006","I'm standing up. That's how bad that was."
"dialogue.wolf.bark.trouble.007","Something just changed and I don't know what."
"dialogue.wolf.bark.trouble.008","Hurts, doesn't it. Don't say it doesn't."
"dialogue.wolf.bark.trouble.009","That's the sound a plan makes when it goes."
"dialogue.wolf.bark.trouble.010","Right. We do this the careful way now."
"dialogue.wolf.bark.maxed.001","There. That's the one that counts."
"dialogue.wolf.bark.maxed.002","Top of the die. I saw the whole thing."
"dialogue.wolf.bark.maxed.003","Hah! Do that again."
"dialogue.wolf.bark.maxed.004","That one went all the way over."
"dialogue.wolf.bark.maxed.005","Good. Good hand."
"dialogue.wolf.bark.maxed.006","You felt that land, didn't you."
"dialogue.wolf.bark.maxed.007","I'd have been proud of that."
"dialogue.wolf.bark.maxed.008","As high as it goes. Nothing above it."
"dialogue.wolf.bark.maxed.009","Now you're throwing."
"dialogue.wolf.bark.maxed.010","That is the number. The whole number."
"dialogue.wolf.bark.perfect.001","Every one of them. Every single one."
"dialogue.wolf.bark.perfect.002","I have never seen you do that before."
"dialogue.wolf.bark.perfect.003","All of it. The whole handful, all of it."
"dialogue.wolf.bark.perfect.004","Stand still. Let me look at that."
"dialogue.wolf.bark.perfect.005","Remember this. You'll want to remember this."
"dialogue.wolf.bark.nudge.001","Hold on. That one's not sitting straight."
"dialogue.wolf.bark.nudge.002","Leaning. I'll have it."
"dialogue.wolf.bark.nudge.003","There. Now it's a number."
"dialogue.wolf.bark.nudge.004","It's the tray, not you. Leave it to me."
"dialogue.wolf.bark.nudge.005","Propped up like a drunk. Down you go."
"dialogue.wolf.bark.nearby.001","Somebody here is waiting on you."
"dialogue.wolf.bark.nearby.002","You owe this place an errand. Or it owes you."
"dialogue.wolf.bark.nearby.003","Don't walk past. You came for a reason."
"dialogue.wolf.bark.nearby.004","This is where that one finishes."
"dialogue.wolf.bark.nerve.001","Go on, then. I'm watching."
"dialogue.wolf.bark.nerve.002","You're spending. You always spend."
"dialogue.wolf.bark.nerve.003","Push. I'll be here after."
"dialogue.wolf.bark.nerve.004","That's the last of the good sense, that was."
"dialogue.wolf.bark.nerve.005","Yes. Yes, do that."
"dialogue.wolf.bark.nerve.006","Don't make me carry you home again."
"dialogue.wolf.bark.secret.001","Something moved behind the screen."
"dialogue.wolf.bark.secret.002","Hn. They're deciding about us."
"dialogue.wolf.bark.secret.003","Ears up. That rattle meant something."
"dialogue.wolf.bark.secret.004","I hate it when they roll and don't say."
"dialogue.wolf.bark.secret.005","Whatever that was, it wasn't for you."
"dialogue.wolf.bark.overasked.001","You asked. I answered. Twice, now three times."
"dialogue.wolf.bark.overasked.002","I'm a wolf, not a map."
"dialogue.wolf.bark.overasked.003","Ask me again and I'll just say it louder."
"dialogue.wolf.bark.overasked.004","I don't know any more than I knew a moment ago. Neither do you."
"dialogue.wolf.bark.camp.001","Good. Fire. Sit."
"dialogue.wolf.bark.camp.002","Put the thing down. All the way down."
"dialogue.wolf.bark.camp.003","I'll take the first watch. I always take the first watch."
"dialogue.wolf.bark.camp.004","Smells like rain coming. Sleep anyway."
"dialogue.wolf.bark.camp.005","Feet toward the fire. You never learn."
"dialogue.wolf.bark.victory.001","Ha! There. That's the one."
"dialogue.wolf.bark.victory.002","Quiet again. I like quiet."
"dialogue.wolf.bark.victory.003","Good. Now check your hands."
"dialogue.wolf.bark.victory.004","That's the room. Don't get proud."
"dialogue.wolf.bark.down.001","Up. Get up."
"dialogue.wolf.bark.down.002","..."
"dialogue.wolf.bark.down.003","I'm here. I'm here."
"dialogue.wolf.readout.hit","Best two, {0} - through a guard of {1}. And it bites for {2}."
"dialogue.wolf.readout.miss","Best two, {0}. Short of {1}."
